Time,PositionX,PositionY,PositionZ,Speed,SteeringAngle
1.4,476.4199,42.09066,224.1348,0.660803,0.0407408
1.42,476.4216,42.09084,224.1482,0.676756,0.03816352
1.44,476.4232,42.09103,224.1617,0.6866094,0.03604274
1.459066,476.4249,42.0912,224.175,0.6790323,0.4384133
1.46,476.4249,42.0912,224.175,0.6790323,0.03552821
1.48,476.4265,42.09137,224.1885,0.6852666,0.03183975
1.5,476.4281,42.09158,224.2027,0.7156282,0.03711632
1.517641,476.4297,42.09177,224.2169,0.7190663,0.4137245
1.52,476.4297,42.09177,224.2169,0.7190663,0.03828369
1.54,476.4314,42.09197,224.2312,0.7257329,0.03282974
1.56,476.433,42.09216,224.2454,0.7241105,0.03052669
1.58,476.4346,42.09236,224.2601,0.7456705,0.03058098
1.6,476.4362,42.09256,224.2749,0.7487546,0.03601091
1.62,476.4379,42.09276,224.2897,0.7518104,0.03667584
1.624158,476.4396,42.09295,224.3046,0.7594115,0.3669339
1.64,476.4396,42.09295,224.3046,0.7594115,0.03690776
1.66,476.4413,42.09317,224.3201,0.7803156,0.02886073
1.68,476.443,42.09339,224.3359,0.7954468,0.03216162
1.684208,476.4447,42.0936,224.3516,0.7977653,0.3446033
1.7,476.4447,42.0936,224.3516,0.7977653,0.03382507
1.72,476.4464,42.09382,224.3678,0.8136414,0.03206452
1.74,476.448,42.09403,224.3837,0.8113713,0.03290832
1.76,476.4498,42.09423,224.4001,0.8258005,0.0340047
1.78,476.4515,42.09442,224.4166,0.8365003,0.02978081
1.792689,476.4532,42.09461,224.4331,0.8378552,0.3092486
1.8,476.4532,42.09461,224.4331,0.8378552,0.02586349
1.82,476.455,42.0948,224.45,0.8562453,0.02783202
1.84,476.4567,42.09499,224.4669,0.8595523,0.03493603
1.851015,476.4584,42.09515,224.4841,0.8720505,0.2869467
1.86,476.4584,42.09515,224.4841,0.8720505,0.03457054
1.88,476.4601,42.09529,224.5011,0.8666445,0.03514798
1.9,476.4618,42.09544,224.5185,0.8824406,0.0263073
1.92,476.4635,42.09557,224.5363,0.8995904,0.02655349
1.94,476.4652,42.09567,224.5539,0.8955353,0.02973608
1.96,476.4671,42.09578,224.5719,0.9125347,0.02972445
1.96307,476.4689,42.09588,224.5903,0.9313403,0.2486079
1.98,476.4689,42.09588,224.5903,0.9313403,0.02915785
2,476.4707,42.09597,224.6089,0.9368149,0.03587713
2.017833,476.4724,42.09604,224.6275,0.9452732,0.2331962
2.02,476.4724,42.09604,224.6275,0.9452732,0.03136963
2.04,476.4742,42.09608,224.6466,0.9622948,0.02831384
